agency_cd,site_no,datetime,99908_00060_00003,99908_00060_00003_cd
USGS,8343500,1/3/2018,3.45,P
USGS,8343500,1/4/2018,3.61,P
USGS,8343500,1/5/2018,3.33,P
USGS,8343500,1/6/2018,3.4,P
USGS,8343500,1/7/2018,3.3,P
USGS,8343500,1/8/2018,3.4,P
USGS,8343500,1/9/2018,3.42,P
USGS,8343500,1/10/2018,3.47,P
USGS,8343500,1/11/2018,3.38,P
USGS,8343500,1/12/2018,3.38,P
USGS,8343500,1/13/2018,3.35,P
USGS,8343500,1/14/2018,3.43,P
USGS,8343500,1/15/2018,3.37,P
USGS,8343500,1/16/2018,3.5,P
USGS,8343500,1/17/2018,3.21,P
USGS,8343500,1/18/2018,3.13,P
USGS,8343500,1/19/2018,3.24,P
USGS,8343500,1/20/2018,3.28,P
USGS,8343500,1/21/2018,3.2,P
USGS,8343500,1/22/2018,3.33,P
USGS,8343500,1/23/2018,3.17,P
USGS,8343500,1/24/2018,3.16,P
USGS,8343500,1/25/2018,3.26,P
USGS,8343500,1/26/2018,3.19,P
USGS,8343500,1/27/2018,3.2,P
USGS,8343500,1/28/2018,3.17,P
USGS,8343500,1/29/2018,3.2,P
USGS,8343500,1/30/2018,3.23,P
USGS,8343500,1/31/2018,3.42,P
USGS,8343500,2/1/2018,3.25,P
USGS,8343500,2/2/2018,3.28,P
USGS,8343500,2/3/2018,3.64,P
USGS,8343500,2/4/2018,3.43,P
USGS,8343500,2/5/2018,3.22,P
USGS,8343500,2/6/2018,3.23,P
USGS,8343500,2/7/2018,3.24,P
USGS,8343500,2/8/2018,3.34,P
USGS,8343500,2/9/2018,3.27,P
USGS,8343500,2/10/2018,3.4,P
USGS,8343500,2/11/2018,3.32,P
USGS,8343500,2/12/2018,3.31,P
USGS,8343500,2/13/2018,3.19,P
USGS,8343500,2/14/2018,3.2,P
USGS,8343500,2/15/2018,3.24,P
USGS,8343500,2/16/2018,3.32,P
USGS,8343500,2/17/2018,3.33,P
USGS,8343500,2/18/2018,3.35,P
USGS,8343500,2/19/2018,3.37,P
USGS,8343500,2/20/2018,3.66,P
USGS,8343500,2/21/2018,2.47,P
USGS,8343500,2/22/2018,2.48,P
USGS,8343500,2/23/2018,2.45,P
USGS,8343500,2/24/2018,2.47,P
USGS,8343500,2/25/2018,2.46,P
USGS,8343500,2/26/2018,2.46,P
USGS,8343500,2/27/2018,2.45,P
USGS,8343500,2/28/2018,2.46,P
USGS,8343500,3/1/2018,2.46,P
USGS,8343500,3/2/2018,2.43,P
USGS,8343500,3/3/2018,2.43,P
USGS,8343500,3/4/2018,2.49,P
USGS,8343500,3/5/2018,2.44,P
USGS,8343500,3/6/2018,2.44,P
USGS,8343500,3/7/2018,2.42,P
USGS,8343500,3/8/2018,2.41,P
USGS,8343500,3/9/2018,2.58,P
USGS,8343500,3/10/2018,2.75,P
USGS,8343500,3/11/2018,3.18,P
USGS,8343500,3/12/2018,3.19,P
USGS,8343500,3/13/2018,3.2,P
USGS,8343500,3/14/2018,3.14,P
USGS,8343500,3/15/2018,3.14,P
USGS,8343500,3/16/2018,3.09,P
USGS,8343500,3/17/2018,3.23,P
USGS,8343500,3/18/2018,3.15,P
USGS,8343500,3/19/2018,3.06,P
USGS,8343500,3/20/2018,2.98,P
USGS,8343500,3/21/2018,3.02,P
USGS,8343500,3/22/2018,2.99,P
USGS,8343500,3/23/2018,3.07,P
USGS,8343500,3/24/2018,3.11,P
USGS,8343500,3/25/2018,3.32,P
USGS,8343500,3/26/2018,3.35,P
USGS,8343500,3/27/2018,3.31,P
USGS,8343500,3/28/2018,3.08,P
USGS,8343500,3/29/2018,2.99,P
USGS,8343500,3/30/2018,2.95,P
USGS,8343500,3/31/2018,2.96,P
USGS,8343500,4/1/2018,3.06,P
USGS,8343500,4/2/2018,3.08,P
USGS,8343500,4/3/2018,3.01,P
USGS,8343500,4/4/2018,2.98,P
USGS,8343500,4/5/2018,2.97,P
USGS,8343500,4/6/2018,3.08,P
USGS,8343500,4/7/2018,3.09,P
USGS,8343500,4/8/2018,3.04,P
USGS,8343500,4/9/2018,2.97,P
USGS,8343500,4/10/2018,2.97,P
USGS,8343500,4/11/2018,3.01,P
USGS,8343500,4/12/2018,3.13,P
USGS,8343500,4/13/2018,3.06,P
USGS,8343500,4/14/2018,3.02,P
USGS,8343500,4/15/2018,3.08,P
USGS,8343500,4/16/2018,2.96,P
USGS,8343500,4/17/2018,3.07,P
USGS,8343500,4/18/2018,3.05,P
USGS,8343500,4/19/2018,3.11,P
USGS,8343500,4/20/2018,3,P
USGS,8343500,4/21/2018,2.96,P
USGS,8343500,4/22/2018,3.12,P
USGS,8343500,4/23/2018,3.29,P
USGS,8343500,4/24/2018,3.18,P
USGS,8343500,4/25/2018,3.36,P
USGS,8343500,4/26/2018,3.26,P
USGS,8343500,4/27/2018,3.29,P
USGS,8343500,4/28/2018,3.16,P
USGS,8343500,4/29/2018,3.35,P
USGS,8343500,4/30/2018,3.41,P
